card_id,card_name,card_set,rarity,tcg_holo_high,tcg_holo_mid,tcg_holo_market,tcg_holo_low,tcg_revhol_high,tcg_revhol_low,tcg_revhol_mid,tcg_revhol_market,tcg_first_ed_holo_high,tcg_first_ed_holo_mid,tcg_first_ed_holo_low,tcg_first_ed_holo_market,tcg_first_ed_normal_high,tcg_first_ed_normal_mid,tcg_first_ed_normal_low,tcg_first_ed_normal_market,tcg_normal_high,tcg_normal_mid,tcg_normal_low,tcg_normal_market,updated_at
ru1-1,Venusaur,Pokémon Rumble,,105.66,73.08,41.66,40.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ecard2-H1,Ampharos,Aquapolis,Rare Holo,,,,,,,,,,,,,,,,,,,,,2024-04-03T20:32:45.838573Z
base4-1,Alakazam,Base Set 2,Rare Holo,159.99,20.87,24.51,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
hgss1-1,Arcanine,HeartGold & SoulSilver,Rare Holo,35.0,25.46,27.63,14.97,46.12,10.0,30.0,35.31,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex11-1,Beedrill δ,Delta Species,Rare Holo,19.58,17.6,18.99,12.72,26.99,12.52,24.2,26.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex7-1,Azumarill,Team Rocket Returns,Rare Holo,23.0,19.44,21.95,15.65,51.98,16.51,28.5,29.98,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
gym1-1,Blaine's Moltres,Gym Heroes,Rare Holo,0,0,0,0,0,0,0,0,400.0,334.88,269.75,185.25,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
base3-1,Aerodactyl,Fossil,Rare Holo,0,0,0,0,0,0,0,0,77.01,65.75,30.0,68.2,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm9-1,Celebi & Venusaur-GX,Team Up,Rare Holo GX,19.99,9.09,9.79,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
xy2-1,Caterpie,Flashfire,Common,0,0,0,0,2.84,0.24,0.43,0.4,0,0,0,0,0,0,0,0,1.97,0.2,0.05,0.16,2024-04-03T20:32:45.838573Z
pop6-1,Bastiodon,POP Series 6,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,1.49,1.0,1.36,2024-04-03T20:32:45.838573Z
ecard2-H2,Arcanine,Aquapolis,Rare Holo,,,,,,,,,,,,,,,,,,,,,2024-04-03T20:32:45.838573Z
hgss4-2,Altaria,HS—Triumphant,Rare Holo,4.24,1.9,1.77,0.98,6.99,1.52,2.11,1.75,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pl1-2,Blastoise,Platinum,Rare Holo,25.0,13.09,18.44,8.5,29.99,10.5,11.99,25.95,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex3-2,Altaria,Dragon,Rare Holo,32.47,15.13,21.55,14.37,18.74,6.0,8.27,8.23,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
dp3-2,Blastoise,Secret Wonders,Rare Holo,55.73,26.47,32.83,17.98,25.59,14.76,18.77,23.69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
base3-2,Articuno,Fossil,Rare Holo,0,0,0,0,0,0,0,0,139.99,96.99,66.95,115.22,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pl3-2,Blaziken FB,Supreme Victors,Rare Holo,16.99,8.92,8.34,7.4,15.23,5.99,9.9,13.48,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex11-2,Crobat δ,Delta Species,Rare Holo,9.99,5.43,7.11,4.0,12.99,10.24,11.57,13.48,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pop6-2,Lucario,POP Series 6,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99,3.09,1.74,3.88,2024-04-03T20:32:45.838573Z
xy2-2,Metapod,Flashfire,Uncommon,0,0,0,0,3.97,0.34,0.6,0.58,0,0,0,0,0,0,0,0,2.54,0.25,0.09,0.22,2024-04-03T20:32:45.838573Z
base4-2,Blastoise,Base Set 2,Rare Holo,81.08,76.45,80.39,56.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
gym1-2,Brock's Rhydon,Gym Heroes,Rare Holo,0,0,0,0,0,0,0,0,83.52,42.58,38.0,67.81,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
hgss1-2,Azumarill,HeartGold & SoulSilver,Rare Holo,6.5,3.59,3.92,1.45,3.4,1.31,1.69,2.61,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
det1-2,Ludicolo,Detective Pikachu,Rare,3.95,0.6,0.54,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm9-2,Weedle,Team Up,Common,0,0,0,0,0.99,0.19,0.36,0.26,0,0,0,0,0,0,0,0,1.45,0.2,0.06,0.15,2024-04-03T20:32:45.838573Z
ex12-2,Aggron,Legend Maker,Rare Holo,17.34,8.99,8.99,5.32,21.79,9.0,18.0,17.87,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex7-2,Dark Ampharos,Team Rocket Returns,Rare Holo,68.99,47.42,46.99,34.95,70.0,34.01,44.58,63.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ru1-2,Cherrim,Pokémon Rumble,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.39,13.83,11.94,16.05,2024-04-03T20:32:45.838573Z
mcd19-2,Alolan Exeggutor,McDonald's Collection 2019,,9.79,3.61,3.35,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
xy5-2,Kakuna,Primal Clash,Uncommon,0,0,0,0,1.95,0.15,0.33,0.28,0,0,0,0,0,0,0,0,4.5,0.22,0.03,0.19,2024-04-03T20:32:45.838573Z
xy11-1,Tangela,Steam Siege,Common,0,0,0,0,1.83,0.06,0.25,0.2,0,0,0,0,0,0,0,0,2.0,0.12,0.02,0.07,2024-04-03T20:32:45.838573Z
ex14-1,Banette,Crystal Guardians,Rare Holo,5.66,4.33,4.59,1.98,7.48,2.5,5.25,7.01,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm12-1,Venusaur & Snivy-GX,Cosmic Eclipse,Rare Holo GX,22.0,5.55,5.61,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
bw1-1,Snivy,Black & White,Common,0,0,0,0,3.85,0.48,0.82,1.08,0,0,0,0,0,0,0,0,8.36,0.25,0.09,0.25,2024-04-03T20:32:45.838573Z
sm115-1,Caterpie,Hidden Fates,Common,0,0,0,0,1.56,0.08,0.24,0.19,0,0,0,0,0,0,0,0,2.0,0.1,0.01,0.05,2024-04-03T20:32:45.838573Z
si1-1,Mew,Southern Islands,,0,0,0,0,140.18,84.95,92.9,117.64,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
dp1-1,Dialga,Diamond & Pearl,Rare Holo,14.39,7.73,11.36,2.46,11.64,3.0,6.99,10.75,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm3-1,Caterpie,Burning Shadows,Common,0,0,0,0,1.87,0.01,0.25,0.19,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.06,2024-04-03T20:32:45.838573Z
pop7-1,Ampharos,POP Series 7,Rare,12.78,5.99,11.83,2.35,0,0,0,0,0,0,0,0,0,0,0,0,6.74,2.9,2.25,5.06,2024-04-03T20:32:45.838573Z
gym2-1,Blaine's Arcanine,Gym Challenge,Rare Holo,0,0,0,0,0,0,0,0,219.75,207.05,185.0,229.99,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
col1-1,Clefable,Call of Legends,Rare Holo,5.0,2.9,3.15,1.25,5.5,1.3,3.35,3.39,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex9-1,Blaziken,Emerald,Rare Holo,14.27,10.38,15.11,5.25,87.95,33.97,70.0,87.95,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
bw10-1,Surskit,Plasma Blast,Common,0,0,0,0,4.51,0.19,0.33,0.28,0,0,0,0,0,0,0,0,1.52,0.23,0.04,0.18,2024-04-03T20:32:45.838573Z
swsh35-1,Venusaur V,Champion's Path,Rare Holo V,19.99,1.9,1.73,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
xy7-1,Oddish,Ancient Origins,Common,0,0,0,0,4.52,0.15,0.32,0.26,0,0,0,0,0,0,0,0,2.0,0.17,0.02,0.12,2024-04-03T20:32:45.838573Z
sm1-1,Caterpie,Sun & Moon,Common,0,0,0,0,1.95,0.1,0.25,0.2,0,0,0,0,0,0,0,0,5.0,0.1,0.02,0.04,2024-04-03T20:32:45.838573Z
ex13-1,Armaldo δ,Holon Phantoms,Rare Holo,12.48,8.8,8.53,2.1,12.74,8.0,11.01,11.35,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
dv1-2,Dratini,Dragon Vault,Rare Holo,24.95,3.33,3.42,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ecard2-H3,Ariados,Aquapolis,Rare Holo,,,,,,,,,,,,,,,,,,,,,2024-04-03T20:32:45.838573Z
sm12-2,Oddish,Cosmic Eclipse,Common,0,0,0,0,1.0,0.25,0.55,0.52,0,0,0,0,0,0,0,0,1.25,0.15,0.03,0.1,2024-04-03T20:32:45.838573Z
ex9-2,Deoxys,Emerald,Rare Holo,49.96,22.82,24.15,13.77,44.99,29.89,34.0,28.65,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
bw1-2,Snivy,Black & White,Common,0,0,0,0,2.44,0.4,1.16,1.45,0,0,0,0,0,0,0,0,2.71,0.29,0.15,0.3,2024-04-03T20:32:45.838573Z
base4-3,Chansey,Base Set 2,Rare Holo,25.0,9.71,9.63,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ru1-3,Ninetales,Pokémon Rumble,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.98,38.99,30.46,33.75,2024-04-03T20:32:45.838573Z
xy5-3,Beedrill,Primal Clash,Rare,0,0,0,0,1.95,0.3,0.77,0.79,0,0,0,0,0,0,0,0,4.42,0.37,0.1,0.3,2024-04-03T20:32:45.838573Z
pop6-3,Manaphy,POP Series 6,Rare,8.44,5.62,5.82,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0.1,1.0,2024-04-03T20:32:45.838573Z
si1-2,Pidgeot,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,11.9,8.49,12.13,2024-04-03T20:32:45.838573Z
ex11-3,Dragonite δ,Delta Species,Rare Holo,114.97,93.0,114.97,42.15,148.95,53.99,130.0,133.15,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pl3-3,Drifblim FB,Supreme Victors,Rare Holo,5.86,3.0,5.1,1.89,5.7,2.8,3.23,3.81,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
base3-3,Ditto,Fossil,Rare Holo,0,0,0,0,0,0,0,0,84.62,42.95,35.0,68.71,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
hgss1-3,Clefable,HeartGold & SoulSilver,Rare Holo,7.89,3.22,4.24,1.99,3.96,1.04,1.17,3.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex13-2,Cradily δ,Holon Phantoms,Rare Holo,11.0,7.46,7.5,5.0,17.9,6.86,9.99,9.8,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
hgss4-3,Celebi,HS—Triumphant,Rare Holo,17.0,4.71,5.5,3.26,9.21,1.75,4.1,6.85,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
xy7-2,Gloom,Ancient Origins,Uncommon,0,0,0,0,1.95,0.1,0.44,0.43,0,0,0,0,0,0,0,0,1.97,0.17,0.04,0.11,2024-04-03T20:32:45.838573Z
bw10-2,Masquerain,Plasma Blast,Rare,0,0,0,0,1.99,0.25,0.5,0.48,0,0,0,0,0,0,0,0,3.0,0.35,0.15,0.3,2024-04-03T20:32:45.838573Z
ex7-3,Dark Crobat,Team Rocket Returns,Rare Holo,21.99,18.08,17.76,9.89,24.99,18.01,19.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex12-3,Cradily,Legend Maker,Rare Holo,10.0,4.82,4.82,3.78,14.0,7.09,8.93,9.0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
swsh35-2,Weedle,Champion's Path,Common,0,0,0,0,2.95,0.05,0.22,0.18,0,0,0,0,0,0,0,0,999.0,0.1,0.01,0.06,2024-04-03T20:32:45.838573Z
gym2-2,Blaine's Charizard,Gym Challenge,Rare Holo,0,0,0,0,0,0,0,0,1000.0,855.0,598.98,949.99,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
xy2-3,Butterfree,Flashfire,Rare,0,0,0,0,2.79,0.49,0.75,0.77,0,0,0,0,0,0,0,0,2.94,0.41,0.29,0.37,2024-04-03T20:32:45.838573Z
xy11-2,Tangrowth,Steam Siege,Uncommon,0,0,0,0,1.0,0.24,0.32,0.29,0,0,0,0,0,0,0,0,2.0,0.15,0.03,0.12,2024-04-03T20:32:45.838573Z
det1-3,Morelull,Detective Pikachu,Common,2.0,0.25,0.21,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex3-3,Crawdaunt,Dragon,Rare Holo,9.99,2.99,3.09,1.45,5.24,2.52,3.95,3.97,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
dv1-3,Dragonair,Dragon Vault,Rare Holo,19.95,1.99,2.12,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm9-3,Weedle,Team Up,Common,0,0,0,0,1.44,0.15,0.28,0.23,0,0,0,0,0,0,0,0,1.42,0.2,0.07,0.1,2024-04-03T20:32:45.838573Z
pop7-2,Gallade,POP Series 7,Rare,28.34,18.5,26.24,6.29,0,0,0,0,0,0,0,0,0,0,0,0,15.0,6.33,5.03,10.43,2024-04-03T20:32:45.838573Z
sm1-2,Metapod,Sun & Moon,Uncommon,0,0,0,0,1.95,0.05,0.25,0.21,0,0,0,0,0,0,0,0,1.27,0.15,0.02,0.12,2024-04-03T20:32:45.838573Z
mcd19-3,Magmar,McDonald's Collection 2019,,5.0,4.26,3.09,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
col1-2,Deoxys,Call of Legends,Rare Holo,26.44,6.28,10.18,4.34,17.99,2.12,5.4,5.33,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pl1-3,Blaziken,Platinum,Rare Holo,11.7,5.57,8.58,2.75,9.0,3.03,7.18,5.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm115-2,Metapod,Hidden Fates,Uncommon,0,0,0,0,1.24,0.05,0.25,0.18,0,0,0,0,0,0,0,0,1.24,0.1,0.01,0.06,2024-04-03T20:32:45.838573Z
gym1-3,Erika's Clefable,Gym Heroes,Rare Holo,0,0,0,0,0,0,0,0,77.98,45.97,44.95,48.92,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
dp3-3,Charizard,Secret Wonders,Rare Holo,217.56,105.83,185.66,77.66,99.99,45.86,62.0,81.14,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm2-1,Bellsprout,Guardians Rising,Common,0,0,0,0,2.36,0.02,0.25,0.21,0,0,0,0,0,0,0,0,5.0,0.13,0.02,0.12,2024-04-03T20:32:45.838573Z
base5-1,Dark Alakazam,Team Rocket,Rare Holo,0,0,0,0,0,0,0,0,79.6,70.0,55.78,74.28,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
xy4-1,Venonat,Phantom Forces,Common,0,0,0,0,12.12,0.1,0.33,0.23,0,0,0,0,0,0,0,0,2.0,0.22,0.05,0.22,2024-04-03T20:32:45.838573Z
bw11-1,Tangela,Legendary Treasures,Common,0,0,0,0,3.4,0.37,0.49,0.46,0,0,0,0,0,0,0,0,1.3,0.25,0.04,0.26,2024-04-03T20:32:45.838573Z
ex4-1,Team Aqua's Cacturne,Team Magma vs Team Aqua,Rare Holo,39.74,9.1,9.06,8.0,10.99,6.99,9.9,5.92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
bw4-1,Pinsir,Next Destinies,Rare,0,0,0,0,1.99,0.4,0.61,0.91,0,0,0,0,0,0,0,0,1.6,0.45,0.24,0.4,2024-04-03T20:32:45.838573Z
bw9-1,Weedle,Plasma Freeze,Common,0,0,0,0,4.24,0.2,0.6,1.37,0,0,0,0,0,0,0,0,2.29,0.25,0.14,0.24,2024-04-03T20:32:45.838573Z
base1-1,Alakazam,Base,Rare Holo,99.99,40.0,47.85,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pop3-1,Blastoise,POP Series 3,Rare,80.1,80.0,64.29,29.99,0,0,0,0,0,0,0,0,0,0,0,0,77.06,73.0,30.0,75.0,2024-04-03T20:32:45.838573Z
dp4-1,Blaziken,Great Encounters,Rare Holo,13.0,7.31,6.77,3.76,7.0,1.88,3.72,6.63,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
bw7-1,Oddish,Boundaries Crossed,Common,0,0,0,0,2.53,1.87,2.04,2.09,0,0,0,0,0,0,0,0,8.99,0.25,0.15,0.21,2024-04-03T20:32:45.838573Z
ex8-1,Altaria,Deoxys,Rare Holo,30.29,21.28,25.61,12.25,18.4,7.75,13.44,19.35,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
bw5-1,Bulbasaur,Dark Explorers,Common,0,0,0,0,14.0,4.9,6.16,6.42,0,0,0,0,0,0,0,0,6.33,1.89,0.97,1.89,2024-04-03T20:32:45.838573Z
pop5-1,Ho-Oh,POP Series 5,Rare,30.0,19.75,4.83,6.79,0,0,0,0,0,0,0,0,0,0,0,0,20.0,6.5,3.04,3.04,2024-04-03T20:32:45.838573Z
sm5-1,Exeggcute,Ultra Prism,Common,0,0,0,0,1.95,0.15,0.29,0.28,0,0,0,0,0,0,0,0,5.0,0.15,0.08,0.15,2024-04-03T20:32:45.838573Z
xy10-1,Shuckle,Fates Collide,Uncommon,0,0,0,0,8.99,0.25,0.56,0.56,0,0,0,0,0,0,0,0,1.31,0.16,0.04,0.16,2024-04-03T20:32:45.838573Z
sm8-1,Tangela,Lost Thunder,Common,0,0,0,0,1.62,0.19,0.35,0.28,0,0,0,0,0,0,0,0,1.29,0.15,0.04,0.12,2024-04-03T20:32:45.838573Z
hgss2-1,Jirachi,HS—Unleashed,Rare Holo,26.97,8.33,7.37,3.99,14.39,4.99,6.58,11.34,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
dpp-DP01,Turtwig,DP Black Star Promos,Promo,8.33,4.05,6.34,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
swsh1-1,Celebi V,Sword & Shield,Rare Holo V,40.0,1.0,1.01,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
basep-1,Pikachu,Wizards Black Star Promos,Promo,,,,,,,,,,,,,,,,,,,,,2024-04-03T20:32:45.838573Z
swsh4-1,Weedle,Vivid Voltage,Common,0,0,0,0,4.98,0.03,0.18,0.14,0,0,0,0,0,0,0,0,999.0,0.1,0.01,0.05,2024-04-03T20:32:45.838573Z
xy1-1,Venusaur-EX,XY,Rare Holo EX,12.95,2.95,2.84,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pop1-1,Blaziken,POP Series 1,Rare,10.0,7.05,6.29,4.49,0,0,0,0,0,0,0,0,0,0,0,0,7.89,4.99,2.9,6.93,2024-04-03T20:32:45.838573Z
bw8-1,Turtwig,Plasma Storm,Common,0,0,0,0,2.44,1.07,1.29,1.28,0,0,0,0,0,0,0,0,2.32,0.25,0.14,0.45,2024-04-03T20:32:45.838573Z
base6-1,Alakazam,Legendary Collection,Rare Holo,50.0,31.7,44.48,19.98,171.46,99.98,145.82,83.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pop9-1,Garchomp,POP Series 9,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,6.0,4.99,9.03,2024-04-03T20:32:45.838573Z
pop4-1,Chimecho δ,POP Series 4,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.99,399.99,399.99,,2024-04-03T20:32:45.838573Z
neo4-1,Dark Ampharos,Neo Destiny,Rare Holo,0,0,0,0,0,0,0,0,129.99,85.5,37.76,149.95,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
neo3-1,Ampharos,Neo Revelation,Rare Holo,0,0,0,0,0,0,0,0,100.0,70.82,61.0,55.24,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pl4-1,Charizard,Arceus,Rare Holo,79.0,31.49,33.64,15.0,70.0,35.39,47.93,55.89,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
mcd19-4,Alolan Sandshrew,McDonald's Collection 2019,,5.58,3.89,4.13,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
sm115-3,Butterfree,Hidden Fates,Rare,0,0,0,0,2.25,0.28,0.46,0.46,0,0,0,0,0,0,0,0,1.32,0.22,0.08,0.16,2024-04-03T20:32:45.838573Z
base3-4,Dragonite,Fossil,Rare Holo,0,0,0,0,0,0,0,0,495.95,406.01,314.15,308.99,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex9-3,Exploud,Emerald,Rare Holo,28.25,14.99,28.25,10.79,29.99,10.11,27.43,5.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
pop7-3,Latias,POP Series 7,Rare,22.0,3.13,7.32,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7.32,4.78,2.36,6.71,2024-04-03T20:32:45.838573Z
pop6-4,Pachirisu,POP Series 6,Rare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,1.83,0.89,1.96,2024-04-03T20:32:45.838573Z
det1-4,Charmander,Detective Pikachu,Common,4.99,0.25,0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
ex4-2,Team Aqua's Crawdaunt,Team Magma vs Team Aqua,Rare Holo,11.89,8.49,7.83,6.5,24.99,3.5,14.95,3.51,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.838573Z
hgss1-4,Gyarados,HeartGold & SoulSilver,Rare Holo,29.0,7.98,14.16,5.8,19.99,7.11,17.02,17.34,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.840016Z
xy1-2,M Venusaur-EX,XY,Rare Holo EX,16.9,6.43,6.31,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.840016Z
ex8-2,Beautifly,Deoxys,Rare Holo,13.05,7.0,10.81,3.5,19.99,5.55,6.89,12.76,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.840016Z
bw5-2,Ivysaur,Dark Explorers,Uncommon,0,0,0,0,19.99,15.08,16.38,15.76,0,0,0,0,0,0,0,0,22.0,8.27,4.99,7.37,2024-04-03T20:32:45.840016Z
dpp-DP02,Chimchar,DP Black Star Promos,Promo,4.55,3.16,3.26,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-03T20:32:45.840016Z
sm2-2,Weepinbell,Guardians Rising,Uncommon,0,0,0,0,1.41,0.17,0.26,0.25,0,0,0,0,0,0,0,0,5.0,0.15,0.01,0.1,2024-04-03T20:32:45.840016Z
pop4-2,Deoxys δ,POP Series 4,Rare,29.99,10.18,29.99,9.2,0,0,0,0,0,0,0,0,0,0,0,0,33.48,13.0,3.67,5.92,2024-04-03T20:32:45.840016Z
