card_id,card_name,card_set,rarity,card_print_number,set_printed_total,tcg_holo_high,tcg_holo_mid,tcg_holo_market,tcg_holo_low,tcg_revhol_high,tcg_revhol_low,tcg_revhol_mid,tcg_revhol_market,tcg_first_ed_holo_high,tcg_first_ed_holo_mid,tcg_first_ed_holo_low,tcg_first_ed_holo_market,tcg_first_ed_normal_high,tcg_first_ed_normal_mid,tcg_first_ed_normal_low,tcg_first_ed_normal_market,tcg_normal_high,tcg_normal_mid,tcg_normal_low,tcg_normal_market,updated_at
pop3-1,Blastoise,POP Series 3,Rare,1,17,80.1,80.0,64.29,29.99,0,0,0,0,0,0,0,0,0,0,0,0,74.1,73.0,30.0,75.0,2024-04-04T19:13:21.725983Z
dp4-1,Blaziken,Great Encounters,Rare Holo,1,106,13.0,7.13,6.77,3.76,7.0,1.88,3.72,6.63,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
bw7-1,Oddish,Boundaries Crossed,Common,1,149,0,0,0,0,2.53,1.87,2.04,2.09,0,0,0,0,0,0,0,0,8.99,0.25,0.15,0.21,2024-04-04T19:13:21.725983Z
ex8-1,Altaria,Deoxys,Rare Holo,1,107,30.29,19.67,25.61,12.25,18.4,7.75,13.44,19.35,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
bw5-1,Bulbasaur,Dark Explorers,Common,1,108,0,0,0,0,14.0,4.9,6.16,6.42,0,0,0,0,0,0,0,0,6.33,1.97,0.97,1.89,2024-04-04T19:13:21.725983Z
pop5-1,Ho-Oh,POP Series 5,Rare,1,17,30.0,19.75,4.83,7.28,0,0,0,0,0,0,0,0,0,0,0,0,20.0,7.25,3.04,3.04,2024-04-04T19:13:21.725983Z
sm5-1,Exeggcute,Ultra Prism,Common,1,156,0,0,0,0,1.95,0.15,0.29,0.28,0,0,0,0,0,0,0,0,5.0,0.15,0.08,0.15,2024-04-04T19:13:21.725983Z
xy10-1,Shuckle,Fates Collide,Uncommon,1,124,0,0,0,0,8.99,0.25,0.56,0.56,0,0,0,0,0,0,0,0,1.04,0.16,0.04,0.16,2024-04-04T19:13:21.725983Z
sm8-1,Tangela,Lost Thunder,Common,1,214,0,0,0,0,1.62,0.19,0.35,0.28,0,0,0,0,0,0,0,0,1.29,0.15,0.04,0.12,2024-04-04T19:13:21.725983Z
hgss2-1,Jirachi,HS—Unleashed,Rare Holo,1,95,26.97,8.33,7.37,3.99,14.39,4.99,6.65,11.34,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
dpp-DP01,Turtwig,DP Black Star Promos,Promo,DP01,56,7.37,4.13,6.34,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
swsh1-1,Celebi V,Sword & Shield,Rare Holo V,1,202,40.0,1.0,1.02,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
basep-1,Pikachu,Wizards Black Star Promos,Promo,1,53,,,,,,,,,,,,,,,,,,,,,2024-04-04T19:13:21.725983Z
swsh4-1,Weedle,Vivid Voltage,Common,1,185,0,0,0,0,4.98,0.03,0.18,0.14,0,0,0,0,0,0,0,0,5.0,0.1,0.01,0.05,2024-04-04T19:13:21.725983Z
xy1-1,Venusaur-EX,XY,Rare Holo EX,1,146,12.95,2.99,2.89,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pop1-1,Blaziken,POP Series 1,Rare,1,17,10.0,7.11,6.29,4.49,0,0,0,0,0,0,0,0,0,0,0,0,7.89,4.99,2.87,6.93,2024-04-04T19:13:21.725983Z
bw8-1,Turtwig,Plasma Storm,Common,1,135,0,0,0,0,2.44,1.07,1.29,1.28,0,0,0,0,0,0,0,0,2.32,0.25,0.14,0.45,2024-04-04T19:13:21.725983Z
base6-1,Alakazam,Legendary Collection,Rare Holo,1,110,50.0,31.7,44.48,19.98,150.0,83.79,100.71,83.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pop9-1,Garchomp,POP Series 9,Rare,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,5.6,4.77,9.03,2024-04-04T19:13:21.725983Z
pop4-1,Chimecho δ,POP Series 4,Rare,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.99,399.99,399.99,,2024-04-04T19:13:21.725983Z
neo4-1,Dark Ampharos,Neo Destiny,Rare Holo,1,105,0,0,0,0,0,0,0,0,129.99,85.5,37.76,149.95,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
neo3-1,Ampharos,Neo Revelation,Rare Holo,1,64,0,0,0,0,0,0,0,0,100.0,70.82,61.0,55.24,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pl4-1,Charizard,Arceus,Rare Holo,1,99,79.0,31.49,33.64,15.0,70.0,35.39,48.96,55.89,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
mcd19-4,Alolan Sandshrew,McDonald's Collection 2019,,4,12,5.58,3.9,4.13,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
sm115-3,Butterfree,Hidden Fates,Rare,3,68,0,0,0,0,2.25,0.28,0.46,0.46,0,0,0,0,0,0,0,0,1.24,0.22,0.08,0.16,2024-04-04T19:13:21.725983Z
base3-4,Dragonite,Fossil,Rare Holo,4,62,0,0,0,0,0,0,0,0,495.95,494.99,314.15,308.99,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex9-3,Exploud,Emerald,Rare Holo,3,106,28.25,15.48,28.25,10.79,29.99,10.11,27.42,5.99,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
pop7-3,Latias,POP Series 7,Rare,3,17,22.0,3.13,7.32,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7.62,4.89,2.36,6.71,2024-04-04T19:13:21.725983Z
pop6-4,Pachirisu,POP Series 6,Rare,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,1.85,0.89,1.96,2024-04-04T19:13:21.725983Z
det1-4,Charmander,Detective Pikachu,Common,4,18,4.99,0.25,0.16,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
ex4-2,Team Aqua's Crawdaunt,Team Magma vs Team Aqua,Rare Holo,2,95,11.89,8.03,7.83,6.5,24.99,3.5,14.95,3.51,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
hgss1-4,Gyarados,HeartGold & SoulSilver,Rare Holo,4,123,29.0,7.98,14.16,5.8,19.99,7.11,17.02,17.34,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-04T19:13:21.725983Z
